,2001,2006,2011,2016
single_detached_house,300930,266860,274940,269680
apartment_five_storeys_plus,355015,379400,429220,493270
movable_dwelling,75,165,100,95
semi_detached_house,90995,69430,72480,71200
row_house,52355,54690,60355,61565
duplex,23785,44095,44750,48585
apartment_five_storeys_less,116900,162850,163895,165575
other_house,3040,1335,2165,2845
average_house_value,40583604,59368353,74259461,92969566
shelter_costs_owned,118563,184352,202750,246584
shelter_costs_rented,152031,129558,142771,175885
